Hospital,School,Toll Gate,Railway Crossing,Traffic Signal,Bus Stop,Latitude,Longitude,Google Maps Link
No,No,No,No,No,No,9.903885,78.14485,https://www.google.com/maps?q=9.903885,78.14485
No,No,No,No,No,No,10.234282,78.78719,https://www.google.com/maps?q=10.234282,78.78719
No,No,No,No,No,No,10.2498865,78.81104,https://www.google.com/maps?q=10.2498865,78.81104
No,No,No,No,No,No,11.429688,77.67516,https://www.google.com/maps?q=11.429688,77.67516
No,No,No,No,No,No,11.440063,77.67855,https://www.google.com/maps?q=11.440063,77.67855
No,No,No,No,No,No,12.9426365,80.14031,https://www.google.com/maps?q=12.9426365,80.14031
No,No,No,No,No,No,10.786472,78.776375,https://www.google.com/maps?q=10.786472,78.776375
No,No,No,No,No,No,13.039449,80.245514,https://www.google.com/maps?q=13.039449,80.245514
No,No,No,No,No,No,13.006576,80.246635,https://www.google.com/maps?q=13.006576,80.246635
No,No,No,No,No,No,11.415775,76.68277,https://www.google.com/maps?q=11.415775,76.68277
No,No,No,No,No,No,11.412146,76.687386,https://www.google.com/maps?q=11.412146,76.687386
No,No,No,No,No,No,11.412727,76.69378,https://www.google.com/maps?q=11.412727,76.69378
No,No,No,No,No,No,11.413972,76.69823,https://www.google.com/maps?q=11.413972,76.69823
No,No,No,No,No,No,11.416242,76.87658,https://www.google.com/maps?q=11.416242,76.87658
No,No,No,No,No,No,11.384266,76.8907,https://www.google.com/maps?q=11.384266,76.8907
No,No,No,No,No,No,11.364153,76.9055,https://www.google.com/maps?q=11.364153,76.9055
No,No,No,No,No,No,11.983634,79.84555,https://www.google.com/maps?q=11.983634,79.84555
No,No,No,No,No,No,13.057343,80.19406,https://www.google.com/maps?q=13.057343,80.19406
No,No,No,No,No,No,13.057646,80.19455,https://www.google.com/maps?q=13.057646,80.19455
No,No,No,No,No,No,13.059882,80.195335,https://www.google.com/maps?q=13.059882,80.195335
No,No,No,No,No,No,13.049876,80.21486,https://www.google.com/maps?q=13.049876,80.21486
No,No,No,No,No,No,13.052586,80.192116,https://www.google.com/maps?q=13.052586,80.192116
No,No,No,No,No,No,13.047393,80.197845,https://www.google.com/maps?q=13.047393,80.197845
No,No,No,No,No,No,13.041927,80.17819,https://www.google.com/maps?q=13.041927,80.17819
No,No,No,No,No,No,10.749764,79.11243,https://www.google.com/maps?q=10.749764,79.11243
No,No,No,No,No,No,13.051569,80.27736,https://www.google.com/maps?q=13.051569,80.27736
No,No,No,No,No,No,12.923301,80.155014,https://www.google.com/maps?q=12.923301,80.155014
No,No,No,No,No,No,13.097782,80.23993,https://www.google.com/maps?q=13.097782,80.23993
No,No,No,No,No,No,10.825205,78.6935,https://www.google.com/maps?q=10.825205,78.6935
No,No,No,No,No,No,10.827416,78.69305,https://www.google.com/maps?q=10.827416,78.69305
No,No,No,No,No,No,13.108942,80.24235,https://www.google.com/maps?q=13.108942,80.24235
No,No,No,No,No,No,13.024259,80.17866,https://www.google.com/maps?q=13.024259,80.17866
No,No,No,No,No,No,12.920591,80.18447,https://www.google.com/maps?q=12.920591,80.18447
No,No,No,No,No,No,12.966054,79.13724,https://www.google.com/maps?q=12.966054,79.13724
No,No,No,No,No,No,11.310522,77.55143,https://www.google.com/maps?q=11.310522,77.55143
No,No,No,No,No,No,11.040799,76.98263,https://www.google.com/maps?q=11.040799,76.98263
No,No,No,No,No,No,11.013543,76.986595,https://www.google.com/maps?q=11.013543,76.986595
No,No,No,No,No,No,13.046382,80.23948,https://www.google.com/maps?q=13.046382,80.23948
No,No,No,No,No,No,9.880823,78.058495,https://www.google.com/maps?q=9.880823,78.058495
No,No,No,No,No,No,9.883845,78.05895,https://www.google.com/maps?q=9.883845,78.05895
No,No,No,No,No,No,9.885854,78.05618,https://www.google.com/maps?q=9.885854,78.05618
No,No,No,No,No,No,9.886245,78.05315,https://www.google.com/maps?q=9.886245,78.05315
No,No,No,No,No,No,9.884606,78.052956,https://www.google.com/maps?q=9.884606,78.052956
No,No,No,No,No,No,9.882323,78.05263,https://www.google.com/maps?q=9.882323,78.05263
No,No,No,No,No,No,9.881142,78.05564,https://www.google.com/maps?q=9.881142,78.05564
No,No,No,No,No,No,12.819855,80.03693,https://www.google.com/maps?q=12.819855,80.03693
No,No,No,No,No,No,12.814561,80.03265,https://www.google.com/maps?q=12.814561,80.03265
No,No,No,No,No,No,12.799503,80.02345,https://www.google.com/maps?q=12.799503,80.02345
